NAME	monocyte	T cell	hematopoietic stem cell	granulocyte	erythrocyte	B cell	macrophage	Fraction A pre-pro B cell
A130040M12Rik	1	109.772415949337	57.5175532434934	70.1462092945613	1	1	148.787829946827	1
A430005L14Rik	1	1	65.9225767760668	1	1	28.6430283499216	43.7943969715927	1
A430035B10Rik	1	1	1	1	1	53.4527813461807	148.299927297502	1
A430084P05Rik	1	1	1	1	1	1	236.835038597803	1
A530032D15Rik	1	1	1	1	1	1	38.3750675083111	1
A630001G21Rik	1	1	1	1	1	63.5762940914444	1	89.2637676412202
A630055G03Rik	1	1	25.6799746199528	1	1	64.2449284403175	1	1
A630072M18Rik	1	1	1	1	1	1	1	40.5208366070983
A930005H10Rik	1	43.1649183279948	1	1	1	29.1451922422617	1	28.9832263246783
AA467197	1	1	65.9028453000897	905.67308578903	1	1	1	1
AF251705	149.816515821349	1	1	39.3875633735774	1	1	66.223812729348	1
AI314180	1	1	20.5264471621181	1	1	50.9867814388499	1	81.7998727701032
AI504432	1	1	1	1	1	30.1757002419794	1	1
AI597468	1	1	1	1	1	51.2312256718858	1	57.498782416727
AI607873	256.353822112009	1	1	1	1	1	53.5779138891255	1
AI848100	1	1	29.4355397340742	1	1	1	1	1
AW112010	116.658177651671	1530.3865210859	37.1318269297466	1	108.883896346288	66.9120470459781	1	258.798867862922
Aak1	1	38.3420464014241	1	1	1	1	1	1
Aatf	1	1	1	1	1	1	1	37.9725381760992
Abca13	1	1	1	39.0905618567412	1	1	1	1
Abca7	36.4068902497952	1	1	1	1	1	1	1
Abcb10	1	1	59.8997286270194	1	1	1	1	1
Abcb7	1	1	22.0577693832286	1	1	1	1	1
Abcc1	1	1	1	1	1	1	64.9905146261678	1
Abcd2	64.7603186913746	1	1	1	1	1	1	1
Abce1	1	48.2118921083747	50.0201169406114	1	1	50.8811775020337	35.8336917671869	1
Abcf2	1	1	36.9621299444327	1	1	50.0188849741242	1	1
Abcf3	1	1	1	1	1	1	1	50.0732878459975
Abcg1	36.6590349153483	50.5637323957581	1	1	1	1	1	36.3902860302966
Abcg2	1	1	49.7907895631004	1	1	1	1	1
Abhd12	56.3371738789977	1	24.0319896333355	1	1	1	31.7000719989806	1
Abhd13	1	1	1	1	1	1	1	49.6381732587576
Abhd16a	34.1728423369851	47.244783411413	41.658070053039	1	1	1	54.1304210779162	1
Abhd5	1	1	62.9009770312991	96.8370703254634	1	1	1	1
Abhd6	1	1	1	1	1	1	54.1585582357109	1
Abhd8	1	68.1263740652431	1	1	1	30.8338266516786	1	1
Abi3	63.1559424859714	1	1	1	1	52.7764093555079	58.2638057634701	1
Ablim1	1	161.33872559416	1	1	1	98.0886132154359	51.9723504322676	259.911789156428
Abr	1	1	1	1	1	1	36.915969883653	1
Abtb1	51.3283157451788	1	44.6871981464006	133.062288632742	68.7114008394295	1	1	53.6000854395308
Acap1	1	108.121467637904	34.9701984206934	51.4858242029727	1	40.2593674502202	57.8092868302907	60.3857666854812
Acbd5	39.9237029551057	1	1	1	1	29.388864202641	76.3651942142509	1
Acer3	81.7502744005774	1	32.947151884998	1	1	1	1	1
Acot13	43.1388560857457	45.1858209907001	31.0826035072996	1	1	39.8404170015563	1	1
Acot2	1	1	1	1	1	1	1	58.2424078532711
Acot7	38.4282876277929	66.3698659036293	57.5270078340996	1	1	23.8899578642486	1	1
Acot9	50.9573345649471	1	39.2084595548926	1	1	1	1	1
Acp5	1	149.575234207654	1	1	1	96.9418298681589	1	63.2817619975445
Acp6	1	1	1	1	1	44.7056459732054	1	148.505550346779
Acpl2	1	1	36.0342467781306	1	1	1	1	1
Acsl1	1	1	55.008787701821	93.7171231219604	108.293623145402	1	1	1
