NAME	fibroblast	erythrocyte	professional antigen presenting cell	endothelial cell
A130022J15Rik	1	1	1	89.2236741857802
A530099J19Rik	1	1	77.976591543462	1
A630007B06Rik	1	1	1	97.6764770508837
AB124611	1	1	70.4281089135273	1
AF251705	1	1	68.7050457523003	1
AI597468	102.508684409614	1	1	1
AI662270	1	1	66.1277436810751	1
AU021092	1	1	1	1195.05189490941
AW549877	62.7357396056319	1	1	1
Aaas	1	1	55.9776845673584	1
Aarsd1	71.0448165899519	1	1	1
Abca1	111.220901881836	1	1	1
Abca8a	300.920554231031	1	1	1
Abcc4	1	1	1	132.552732074641
Abcc9	95.1668843177646	1	1	1
Abcg2	1	1	1	389.291788360976
Abi3	1	1	1	53.6431566319675
Abi3bp	465.155163813051	1	1	1
Ablim3	1	1	1	82.4996509256289
Acadsb	81.8180776305142	1	1	1
Acer2	1	1	1	84.0617550562824
Acta2	2819.84958580153	1	1	1
Actr1b	1	1	1	96.0872339475918
Actr8	76.820334502146	1	1	1
Adam19	1	1	78.695897029885	1
Adam8	1	1	160.197173139865	1
Adamts1	176.132036334427	1	1	336.374353561633
Adamts2	384.965124104773	1	1	1
Adamts5	188.886167849239	1	1	1
Adamtsl4	75.7494326077679	1	1	1
Adap1	1	1	66.3441712267029	1
Adap2	1	1	65.2961026640338	1
Adcy4	1	1	1	167.115871067241
Adh1	199.427107642216	1	1	479.925144101197
Adh7	193.404098110993	1	1	1
Adora2a	1	1	96.0934419324087	1
Adrb2	1	1	165.125852085346	1
Adrbk1	1	1	140.155517628498	1
Adrbk2	1	1	67.9358109226579	1
Aebp1	764.618305895804	1	1	1
Aebp2	1	1	82.465154269112	1
Afap1l1	1	1	1	177.172790806956
Aftph	1	1	77.4331598785793	1
Ahsa2	1	1	1	44.8498814849669
Aif1	1	1	189.653035063604	1
Aim1	1	1	108.581984402465	1
Ak1	109.076342280142	1	1	1
Akna	1	1	92.8731501649186	1
Akt2	70.0167463438524	1	1	1
Alas2	1	17401.9884215934	1	1
Aldh1a1	377.15787352244	1	1	1
Aldh1a3	67.8407436203194	1	1	1
Aldh3a1	139.576786269893	1	1	1
Aldh7a1	120.41830194028	1	1	1
Alg14	1	1	1	77.6229533493551
Alkbh7	1	1	276.741762320797	1
Alox5ap	1	1	392.142950093288	1
Alpl	1	1	1	173.207013871541
Als2cl	1	1	1	70.2074631649278
Amica1	1	1	144.547754656116	1
Angptl2	137.591248923348	1	1	1
Angptl4	388.968522038185	1	1	1
Ankrd29	1	1	1	82.6969332492064
Ankrd44	1	1	90.7467981346934	1
Ankrd54	1	1	67.2359359912358	1
Antxr1	131.761382755262	1	1	1
Anxa8	135.811855789239	1	1	1
Aox3	118.584532045868	1	1	1
Ap1g2	1	1	96.6326537793974	1
Ap1s2	1	1	59.2807106027204	1
Apbb2	30.6979782409179	1	1	265.870544464696
Aplnr	1	1	1	98.6501552493338
Apobec1	1	1	104.502594185239	1
Apod	103.791338891975	1	1	1
Apol7c	1	1	577.156126421221	1
Apold1	1	1	1	572.787967876289
Aqp1	144.38254839894	1	1	875.095846444058
Aqp3	919.012876404443	1	1	1
Aqp4	91.4794997079312	1	1	1
Aqp5	532.367634145251	1	1	1
Aqp7	1	1	1	539.543636557496
Arap3	1	1	1	56.7297879188088
Arf2	38.7134732796939	1	1	150.289422352848
Arhgap15	1	1	73.9598854041365	1
Arhgap18	1	1	84.5819607704563	204.097936708495
Arhgap22	1	1	62.7499570602099	1
Arhgap27	1	1	1	41.0368329729601
Arhgap29	52.5006819765577	1	1	242.170458766369
Arhgap30	1	1	248.574062925076	1
Arhgap31	1	1	83.7122905823372	177.672224575218
Arhgap9	1	1	155.714824569009	1
Arhgef12	91.1919290158482	1	1	226.427938934261
Arhgef15	1	1	1	130.915278183855
Arhgef25	66.9046862750923	1	1	1
Arhgef3	1	1	1	120.006384238099
Arhgef6	1	1	193.390936439031	1
Arid1b	1	1	90.4137911861035	1
Arl5c	1	1	97.2402035922706	1
Arrdc1	1	1	121.489921354958	1
Art3	1	1	1	135.848323123302
Asf1b	1	1	88.7781854038141	1
Asl	1	1	93.2880531038366	1
Asnsd1	1	1	80.2607106812798	1
Asph	93.9993894616889	1	1	1
Aspn	244.460187299781	1	1	1
Aspscr1	1	1	101.084497774884	1
Atg12	1	1	1	76.5496173219827
Atg4b	1	1	59.6734508507576	1
Atp11a	101.463130566318	1	1	1
Atp1a2	115.279172051798	1	1	1
Atp1b1	170.625014805573	1	1	1
Atp2a3	1	1	89.0290846545774	1
Atp7a	60.1028980821354	1	1	1
Atp9a	79.6708331566592	1	1	1
Atxn7	1	1	1	58.0211481141044
Axl	415.411294128896	1	53.8611848482772	1
B3galnt1	81.3146331721461	1	1	1
B3gat3	97.1820624240145	1	1	1
B3gnt1	85.5963450132203	1	1	1
B3gnt3	1	1	1	119.399777943907
B3gnt9.ps	79.2411080388367	1	1	1
B4galt4	1	1	1	228.076859921004
BC013712	1	1	69.6675230305757	1
BC017612	1	1	1	128.221978852874
BC020535	1	1	1	99.5565721487022
BC035044	1	1	69.6653489031484	1
Bace1	133.392683022265	1	1	1
Bambi	1	1	1	130.19858514717
Basp1	1	1	191.823078908903	1
Batf3	1	1	67.8572023230325	1
Baz1a	1	1	92.733140319904	1
