gene_name	WT_0h_rep_1	WT_0h_rep_2	WT_0h_rep_3	WT_0h_rep_4	WT_1h_rep_1	WT_1h_rep_2	WT_1h_rep_3	WT_1h_rep_4	WT_2h_rep_1	WT_2h_rep_2	WT_2h_rep_3	WT_2h_rep_4	WT_4h_rep_1	WT_4h_rep_2	WT_4h_rep_3	WT_4h_rep_4
Xkr4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm19938	0	0	0	2	0	0	0	0	0	2	0	0	0	0	1	1
Gm10568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rp1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	3
Sox17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mrpl15	186	323	228	300	245	195	241	247	153	212	206	317	144	209	221	191
Lypla1	219	320	228	293	210	217	173	237	158	231	171	249	148	195	171	166
Gm19860	1	12	3	3	7	4	4	1	1	4	2	5	1	7	3	2
Tcea1	843	1357	832	1164	965	937	1149	1186	834	1156	1301	1343	1046	1450	1731	1460
Rgs20	0	1	2	0	0	0	1	0	0	1	0	1	0	0	0	0
Atp6v1h	894	1230	734	1011	1080	914	1402	1027	823	1119	1411	1237	599	774	1343	701
Oprk1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
Npbwr1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0
Rb1cc1	604	1031	633	552	794	868	912	704	616	1035	863	896	289	431	514	320
Alkal1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
St18	181	262	194	176	245	269	235	257	125	173	207	241	183	151	304	182
Pcmtd1	523	899	504	520	487	620	610	516	311	472	485	523	394	656	774	434
Sntg1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Rrs1	101	104	94	152	438	227	280	451	381	444	390	640	139	136	159	141
Adhfe1	39	69	32	23	58	64	84	43	69	79	100	94	98	99	124	108
2610203C22Rik	37	39	28	44	39	27	40	35	37	33	19	28	7	13	28	8
Vxn	16	19	18	13	4	0	4	2	2	1	1	0	1	2	0	1
Mybl1	96	203	118	145	128	132	148	152	71	102	120	132	19	17	43	20
Vcpip1	644	1146	759	611	582	624	588	491	1037	1298	1264	1665	1571	2229	2304	1863
1700034P13Rik	0	0	3	2	0	0	0	0	0	0	2	0	2	4	6	1
Sgk3	429	704	457	584	527	517	593	513	493	641	679	744	1314	1808	1800	1653
Mcmdc2	1	7	2	5	7	3	2	2	5	6	6	19	19	37	29	18
Snhg6	35	53	41	60	51	49	44	69	46	37	42	59	27	30	60	44
Snord87	0	3	0	1	1	1	1	2	0	1	0	2	0	1	0	0
Tcf24	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0
Ppp1r42	0	0	1	0	2	1	0	0	0	0	1	0	0	0	1	0
Cops5	450	662	366	571	509	472	491	557	410	576	596	611	333	514	548	538
Cspp1	189	323	228	179	187	211	222	185	113	144	169	161	85	108	141	103
Arfgef1	1054	1887	1109	1183	1219	1167	1360	1042	887	1175	1269	1385	1246	1698	1973	1451
Cpa6	1	0	3	0	1	4	1	1	0	3	0	0	0	0	0	0
Prex2	4	5	3	9	5	10	15	8	1	0	6	0	1	5	7	1
A830018L16Rik	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
Gm17644	1	0	1	0	1	0	2	0	2	0	2	1	0	0	1	0
Sulf1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0
Slco5a1	1	0	1	3	2	0	1	1	1	1	1	0	1	0	1	1
Prdm14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ncoa2	595	1004	743	571	618	786	832	582	347	542	514	519	190	351	302	236
Tram1	1324	1949	1131	1787	1503	1067	1030	1438	999	1324	995	1485	665	801	822	712
Lactb2	309	375	234	374	277	213	228	305	158	221	203	296	85	87	133	103
Xkr9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Gm5523	6	3	2	7	7	0	4	5	7	8	6	5	2	5	11	5
