gene_name	WT_0h_rep_1	WT_0h_rep_2	WT_0h_rep_3	WT_0h_rep_4	WT_1h_rep_1	WT_1h_rep_2	WT_1h_rep_3	WT_1h_rep_4	WT_2h_rep_1	WT_2h_rep_2	WT_2h_rep_3	WT_2h_rep_4	WT_4h_rep_1	WT_4h_rep_2	WT_4h_rep_3	WT_4h_rep_4
497097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100503874	0	0	0	2	0	0	0	0	0	2	0	0	0	0	1	1
100038431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19888	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	3
20671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27395	186	323	228	300	245	195	241	247	153	212	206	317	144	209	221	191
18777	219	320	228	293	210	217	173	237	158	231	171	249	148	195	171	166
100503730	1	12	3	3	7	4	4	1	1	4	2	5	1	7	3	2
21399	843	1357	832	1164	965	937	1149	1186	834	1156	1301	1343	1046	1450	1731	1460
58175	0	1	2	0	0	0	1	0	0	1	0	1	0	0	0	0
108664	894	1230	734	1011	1080	914	1402	1027	823	1119	1411	1237	599	774	1343	701
18387	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
226304	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0
12421	604	1031	633	552	794	868	912	704	616	1035	863	896	289	431	514	320
620393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
240690	181	262	194	176	245	269	235	257	125	173	207	241	183	151	304	182
319263	523	899	504	520	487	620	610	516	311	472	485	523	394	656	774	434
71096	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
59014	101	104	94	152	438	227	280	451	381	444	390	640	139	136	159	141
76187	39	69	32	23	58	64	84	43	69	79	100	94	98	99	124	108
72481	37	39	28	44	39	27	40	35	37	33	19	28	7	13	28	8
76982	16	19	18	13	4	0	4	2	2	1	1	0	1	2	0	1
17864	96	203	118	145	128	132	148	152	71	102	120	132	19	17	43	20
70675	644	1146	759	611	582	624	588	491	1037	1298	1264	1665	1571	2229	2304	1863
73331	0	0	3	2	0	0	0	0	0	0	2	0	2	4	6	1
170755	429	704	457	584	527	517	593	513	493	641	679	744	1314	1808	1800	1653
620986	2	3	1	7	1	1	0	1	9	13	8	9	9	11	11	6
240697	1	7	2	5	7	3	2	2	5	6	6	19	19	37	29	18
73824	35	53	41	60	51	49	44	69	46	37	42	59	27	30	60	44
266793	0	3	0	1	1	1	1	2	0	1	0	2	0	1	0	0
100038398	0	1	1	2	1	0	1	0	2	1	1	0	0	0	0	3
100039596	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0
69312	0	0	1	0	2	1	0	0	0	0	1	0	0	0	1	0
26754	450	662	366	571	509	472	491	557	410	576	596	611	333	514	548	538
211660	189	323	228	179	187	211	222	185	113	144	169	161	85	108	141	103
211673	1054	1887	1109	1183	1219	1167	1360	1042	887	1175	1269	1385	1246	1698	1973	1451
329093	1	0	3	0	1	4	1	1	0	3	0	0	0	0	0	0
109294	4	5	3	9	5	10	15	8	1	0	6	0	1	5	7	1
320492	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
329096	1	0	1	0	1	0	2	0	2	0	2	1	0	0	1	0
240725	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0
240726	1	0	1	3	2	0	1	1	1	1	1	0	1	0	1	1
383491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17978	595	1004	743	571	618	786	832	582	347	542	514	519	190	351	302	236
72265	1324	1949	1131	1787	1503	1067	1030	1438	999	1324	995	1485	665	801	822	712
212442	309	375	234	374	277	213	228	305	158	221	203	296	85	87	133	103
381246	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
433273	6	3	2	7	7	0	4	5	7	8	6	5	2	5	11	5
14048	276	561	422	266	266	369	316	244	83	223	187	180	17	41	59	30
17681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
277328	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
98741	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0
21749	172	299	191	225	122	164	224	118	74	110	128	115	23	86	85	39
226866	0	4	6	0	0	0	1	0	3	0	0	2	0	1	1	0
665434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
75799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19989	1085	1918	1202	1515	1220	1304	1660	1433	861	1470	1661	1561	822	1167	1573	1013
98711	46	63	43	51	26	32	33	42	17	28	25	23	12	13	11	14
29819	63	85	61	79	87	57	59	66	65	61	41	93	53	50	73	52
66799	128	176	101	151	100	93	71	100	96	103	90	124	67	112	105	109
67923	188	319	173	289	215	225	204	270	165	254	262	335	143	211	245	265
329101	0	0	1	0	1	0	1	0	0	1	0	2	0	2	0	0
70397	107	158	86	121	126	83	111	102	107	139	113	217	102	115	214	155
17087	187	295	170	287	161	226	291	239	178	291	427	379	224	320	463	385
57339	0	2	0	0	4	1	1	2	1	0	1	0	1	0	3	0
14545	4	2	3	1	2	4	3	2	2	0	3	1	0	1	0	0
94227	0	0	0	0	2	1	0	0	1	1	0	0	0	0	0	0
83691	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0
78081	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
654454	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
654460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
654464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
226896	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
21419	0	0	0	0	0	1	0	0	0	0	2	0	1	0	2	0
241035	0	0	0	2	0	0	1	0	0	1	3	1	1	0	1	2
75028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
387202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
723817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
257630	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
17215	1070	1566	1045	1231	1152	1009	1074	1340	618	772	763	910	144	247	266	194
77741	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
74229	15	12	9	10	7	6	4	16	4	6	3	9	6	6	5	7
71877	2	1	2	4	4	0	6	3	1	4	1	1	1	0	1	1
170829	50	79	56	74	55	59	61	55	61	58	112	70	45	114	94	51
75712	15	23	9	18	11	13	14	18	6	9	11	8	2	14	5	3
14859	8	3	7	11	10	4	4	10	2	8	1	20	2	2	2	7
241041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
368204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
433278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
98582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
226922	0	0	2	0	0	0	2	0	1	1	1	0	0	0	1	2
116837	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
66755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
387225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
723964	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
70155	569	1024	613	629	491	561	664	538	385	535	695	632	373	907	752	480
100503399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
280645	17	11	13	9	15	10	5	11	8	12	7	6	8	12	12	5
98366	375	651	446	497	450	445	583	493	338	479	572	484	254	452	532	341
68002	20	12	21	11	11	13	18	13	8	9	10	21	2	4	11	5
68187	68	95	64	74	70	86	76	62	39	66	75	61	39	42	56	30
12839	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0
12823	0	0	2	4	12	9	6	5	17	16	6	15	23	10	29	22
68421	580	1017	620	588	787	810	926	680	525	811	851	862	400	608	870	425
210933	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
100504323	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
210940	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
433281	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0
665903	2	3	2	2	2	1	3	1	0	4	0	6	6	1	3	2
210962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
623924	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
