	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000079800.2	7.30641816837667	-0.684133039268244	0.607385060823663	-1.12635802787198	0.260014005040983	0.999963202828308
ENSMUSG00000079192.2	4.91196739304551	-0.521788830639591	0.672453532639304	-0.775947787190037	0.437779815265914	0.999963202828308
ENSMUSG00000095250.1	5.43176247700001	-0.393557521556488	0.737825463728177	-0.533401923495391	0.593755386290794	0.999963202828308
ENSMUSG00000095787.1	2.47286146151126	-0.919381585260912	0.949964802328593	-0.967805947133289	0.333141293121575	0.999963202828308
ENSMUSG00000096100.1	2.59070543339938	-1.2842972692683	1.15926568546104	-1.10785412298091	0.267924821359805	0.999963202828308
ENSMUSG00000094054.1	4.26008225448629	0.0322285582514279	0.726288059568703	0.0443743468267486	0.964606009767615	0.999963202828308
ENSMUSG00000095672.1	2.69641712677986	-0.0226322418883659	0.856570513267651	-0.0264219250345524	0.978920806604591	0.999963202828308
ENSMUSG00000079190.3	13.6865456827336	-0.252677359213855	0.411886433340428	-0.61346366075868	0.539569803733696	0.999963202828308
ENSMUSG00000094915.1	6.17891498534891	-0.216736543312535	0.607969803746319	-0.356492282967018	0.721471930300825	0.999963202828308
ENSMUSG00000079808.3	8.29713608861467	-0.877151587164071	0.622093840026311	-1.40999883092714	0.158540028107407	0.999963202828308
ENSMUSG00000063897.3	238.16625333332	-0.147121513583034	0.272878082013583	-0.539147418867123	0.589785138374543	0.999963202828308
ENSMUSG00000079222.2	3.82174951439047	-0.62375191549868	0.925942419359214	-0.673640069250029	0.500540172104662	0.999963202828308
ENSMUSG00000096808.1	2.66796339898718	0.351373024261922	0.960392693023162	0.365863908393406	0.714466628871902	0.999963202828308
ENSMUSG00000062783.2	25.9054253708427	-0.175912742006057	0.385968054026444	-0.455770212510916	0.648555226310645	0.999963202828308
ENSMUSG00000051412.6	552.518272235374	-0.0970654880426009	0.241323943534387	-0.402220710556099	0.687521601589481	0.999963202828308
ENSMUSG00000061654.3	46.4601980431491	0.187677443502866	0.422603826394363	0.444097832961242	0.656971853157574	0.999963202828308
ENSMUSG00000079834.2	389.681524910987	0.200223920356305	0.204442464916726	0.979365614858245	0.327399360542447	0.999963202828308
ENSMUSG00000079773.2	11.8278962376618	-0.186449584702204	0.476500330371785	-0.391289518218651	0.695583245756509	0.999963202828308
ENSMUSG00000096271.1	145.013657389652	-0.534836983068312	0.439629280084166	-1.21656360778772	0.223770296104765	0.999963202828308
ENSMUSG00000096506.1	27.7398063409985	-0.135784482290728	0.432405956592463	-0.314020841342626	0.753505209728693	0.999963202828308
ENSMUSG00000095552.1	6.87758955781878	-0.190499699651416	0.634522192966818	-0.300225432243279	0.764005207216427	0.999963202828308
ENSMUSG00000094661.1	15.995646542691	-0.0351967124824955	0.365018183792802	-0.0964245455302426	0.923183398436304	0.999963202828308
ENSMUSG00000095320.1	36.868000393947	-0.692151324685266	0.545587560269286	-1.26863472536588	0.204571373165558	0.999963202828308
ENSMUSG00000094350.1	11.6542096249006	-0.0167514342174808	0.525478222899703	-0.0318784556380714	0.974568979816503	0.999963202828308
ENSMUSG00000096237.1	121.256175764652	-0.00560937956758266	0.232778934226421	-0.0240974536043132	0.980774874463404	0.999963202828308
ENSMUSG00000095742.1	404.342010023131	-0.185768720987821	0.223377382778428	-0.831636214361454	0.405614314409368	0.999963202828308
ENSMUSG00000095041.7	4445.86895958177	-0.734224448528187	0.232716832295623	-3.15501221499738	0.00160491385884946	0.417192006589294
ENSMUSG00000103377.1	14.6124116517716	0.233959214547555	0.564151016502826	0.414710259671017	0.678354020834342	0.999963202828308
ENSMUSG00000104017.1	13.038889272567	0.415541266777026	0.587419723868703	0.707400943298775	0.479317350885907	0.999963202828308
ENSMUSG00000103025.1	6.51721941810792	0.620170876190088	0.656492291524378	0.944673508275396	0.344825585896969	0.999963202828308
ENSMUSG00000089699.1	3.79198661172176	-0.0483184173098821	0.762505835580279	-0.063367931175387	0.949473523125841	0.999963202828308
ENSMUSG00000103201.1	12.0937250346518	0.177569026990684	0.421078302652043	0.421700728516088	0.673243472639012	0.999963202828308
ENSMUSG00000103147.1	3.85642263600243	-0.112123310332389	0.719761181592482	-0.155778490421384	0.876207625779531	0.999963202828308
ENSMUSG00000103161.1	18.2515515371799	0.427473004191938	0.411703214805786	1.03830378005086	0.299128649410009	0.999963202828308
ENSMUSG00000102331.1	20.5195777473251	0.300606602708553	0.423644693277766	0.709572449456974	0.477969309304256	0.999963202828308
ENSMUSG00000051951.5	170.638600340502	0.444940211531974	0.451003764188968	0.986555427829084	0.323860630066153	0.999963202828308
ENSMUSG00000025900.12	7.07458812341992	-0.247396870758129	0.604282967912173	-0.409405665714686	0.682241982477096	0.999963202828308
ENSMUSG00000025902.13	322.320658315953	0.00986890408866138	0.189743798354008	0.0520117346351886	0.958519343184115	0.999963202828308
ENSMUSG00000104238.1	26.4134054419768	0.130899296914757	0.323912404588398	0.404119431860267	0.686124896255653	0.999963202828308
ENSMUSG00000102269.1	19.6117815591646	-0.04994591918868	0.552624634294229	-0.0903794657153986	0.927985673888444	0.999963202828308
ENSMUSG00000104328.1	2.84694980898145	0.127806411337746	0.879323995450938	0.145346211406643	0.884437530648696	0.999963202828308
ENSMUSG00000098104.1	50.5271848397805	-0.187876594167591	0.281352432511223	-0.667762466066814	0.504285229029695	0.999963202828308
ENSMUSG00000102175.1	5.86448021677637	-0.785069799362884	0.698723970730385	-1.12357645114456	0.261192750877732	0.999963202828308
ENSMUSG00000103922.1	627.570995470728	0.252256515971757	0.301770923090353	0.835920549894163	0.403199600802483	0.999963202828308
ENSMUSG00000102275.1	18.9485651112581	-0.0071112008988416	0.371583338115833	-0.0191375666489783	0.984731363059164	0.999963202828308
ENSMUSG00000033845.13	662.122532893143	0.216391446886456	0.186210770820557	1.16207803626452	0.245203768157146	0.999963202828308
ENSMUSG00000025903.14	1659.33156883469	0.0959471355635603	0.198077110484887	0.484392847455641	0.628107093582671	0.999963202828308
ENSMUSG00000062588.4	66.2482552950465	0.180821277971299	0.297217458697191	0.60838040525581	0.5429352043527	0.999963202828308
ENSMUSG00000104217.1	453.604961902498	0.0646994052525135	0.196955032496776	0.328498360424339	0.742534883764313	0.999963202828308
ENSMUSG00000033813.15	838.756384676773	-0.0661065768924823	0.170201210097934	-0.388402508151643	0.697718188404476	0.999963202828308
ENSMUSG00000103280.1	6.46107927604933	0.518343163942943	0.661407380861069	0.783697277868482	0.433217760183612	0.999963202828308
ENSMUSG00000102653.1	2.1869707283515	0.811074454117704	1.37426904119039	0.590186076967253	0.555065905444227	0.999963202828308
ENSMUSG00000085623.1	6.14309007631182	-0.446955184060554	0.614193060972248	-0.727711223817864	0.466790378253866	0.999963202828308
ENSMUSG00000002459.17	15.9580099283741	-0.15347378727092	0.540828158934414	-0.283775511196213	0.776582422594086	0.999963202828308
ENSMUSG00000033793.12	2317.97727662451	-0.0166835337355902	0.176425431011844	-0.0945642226288236	0.924660968650321	0.999963202828308
ENSMUSG00000025905.14	5.24359614045871	0.392139746522668	0.945533260064824	0.414728664854987	0.678340545716074	0.999963202828308
ENSMUSG00000090031.2	374.749813058054	0.248776640630251	0.22396457241973	1.11078568338934	0.266660610311988	0.999963202828308
ENSMUSG00000025907.14	2661.09203954677	-0.00423376760114448	0.13374257826781	-0.031656093788372	0.974746309403406	0.999963202828308
ENSMUSG00000103355.1	10.0745403077425	-0.158486517650371	0.621018402311574	-0.255204221099484	0.79856537102623	0.999963202828308
ENSMUSG00000103845.1	18.9128909655032	-0.310559433612587	0.36228908624036	-0.857214432914345	0.391326387438708	0.999963202828308
ENSMUSG00000033740.17	118.910910484151	-0.025391139061357	0.273056410287083	-0.092988621049627	0.925912601139481	0.999963202828308
ENSMUSG00000102135.1	104.721597352381	-0.0749917307192891	0.184472092153775	-0.406520736246523	0.684360023940138	0.999963202828308
ENSMUSG00000098201.1	13.2769077366197	0.0590054914317393	0.416656707648133	0.141616564304947	0.887382882381134	0.999963202828308
ENSMUSG00000103509.1	349.696603548766	0.0557509135000279	0.126510583924319	0.440681813099361	0.659443364810842	0.999963202828308
ENSMUSG00000051285.17	2612.26181423577	0.155704937379906	0.14714861980888	1.0581474537929	0.289988222895468	0.999963202828308
ENSMUSG00000048538.7	67.7911055189162	0.21932831062813	0.226707555616271	0.967450379110295	0.333318935619402	0.999963202828308
ENSMUSG00000097797.6	12.1441127652938	-0.329405769117983	0.463555644142634	-0.710606748683285	0.477327959896536	0.999963202828308
ENSMUSG00000086235.1	22.3403380116122	0.211423302529356	0.366538828338548	0.576810111735498	0.564067738006554	0.999963202828308
ENSMUSG00000102253.1	5.13808328877597	0.290880297287857	0.757031075662566	0.384238252086646	0.700801869235371	0.999963202828308
ENSMUSG00000103884.1	2.50085361703667	-0.518792393478561	1.03538945699393	-0.501060146956473	0.616328793432644	0.999963202828308
ENSMUSG00000084353.1	14.2950773035763	-0.248064743280766	0.540885449379758	-0.458627133647661	0.646501948220479	0.999963202828308
ENSMUSG00000103933.1	19.9405738486718	-0.322015766086453	0.334882994899411	-0.961576941770893	0.336262158757812	0.999963202828308
ENSMUSG00000076135.1	2.81021665296523	-0.395451392455903	0.837235313910055	-0.472330043759223	0.636691228982475	0.999963202828308
ENSMUSG00000066693.2	14.552634497369	0.000665371127174192	0.481300027523089	0.00138244564538753	0.99889696831474	0.999963202828308
ENSMUSG00000102316.1	3.1212771870027	0.68769608653553	0.929998836379041	0.739459082780233	0.459628276987229	0.999963202828308
ENSMUSG00000102871.1	13.6817645747399	0.0126714440675454	0.46581387997975	0.0272028048371943	0.978297978598714	0.999963202828308
ENSMUSG00000025909.16	96.393908219941	-0.0112423489737782	0.291932296665689	-0.038510124101317	0.969280959607221	0.999963202828308
ENSMUSG00000102272.1	5.4066964096879	0.219597464612597	0.694940951640046	0.315994422395675	0.752006741683396	0.999963202828308
ENSMUSG00000103411.1	20.6793160338736	0.22216768486237	0.421047040013391	0.527655258793185	0.597738632034157	0.999963202828308
ENSMUSG00000061024.8	269.894553052403	-0.109068615925737	0.141677983327635	-0.769834616247414	0.441398002838818	0.999963202828308
ENSMUSG00000081441.3	48.9061447820882	-0.225217865167683	0.260233730702987	-0.865444554628976	0.386794835490765	0.999963202828308
ENSMUSG00000025911.14	1226.17946491399	0.406610097490056	0.202272684615498	2.01020764747837	0.0444092163563005	0.999963202828308
ENSMUSG00000067879.3	18.5829728940999	0.00579161846363528	0.468156282764103	0.0123711219455183	0.990129524571093	0.999963202828308
ENSMUSG00000079671.8	170.803893885349	0.167728332881751	0.152979884986662	1.09640775907483	0.272900369933291	0.999963202828308
ENSMUSG00000025912.16	114.5056083525	-0.193636985614564	0.241705425859889	-0.801128004990715	0.423057545063775	0.999963202828308
ENSMUSG00000045210.8	1878.61276457573	-0.0423200235538838	0.134360415905452	-0.314973895166146	0.752781474444487	0.999963202828308
ENSMUSG00000097893.8	178.29166621844	-0.0472654940558185	0.212015793540732	-0.222933835571726	0.823587002007431	0.999963202828308
ENSMUSG00000046334.4	23.7236549972021	-0.158438172438559	0.31398002870261	-0.504612261783777	0.613831195901082	0.999963202828308
ENSMUSG00000025915.14	726.716001380802	-0.169103123635331	0.168304725453473	-1.00474376568874	0.315020248144135	0.999963202828308
ENSMUSG00000046101.16	26.9636191787358	0.255816182509259	0.29657338781113	0.862572951664071	0.388372307222662	0.999963202828308
ENSMUSG00000093178.1	2.17612643065691	-1.41406264711842	1.10452582451699	-1.28024407916111	0.20045930793114	0.999963202828308
ENSMUSG00000098234.7	148.550805458895	0.059003464239408	0.249359809599748	0.236619783814062	0.812951770736377	0.999963202828308
ENSMUSG00000099032.2	15.5147176949948	0.231428995199847	0.474316834955611	0.487920685382177	0.625606022061587	0.999963202828308
ENSMUSG00000025917.9	808.997773866045	0.0959173963736796	0.171458007012225	0.559422088504976	0.575873690031855	0.999963202828308
ENSMUSG00000102356.1	8.75518708745174	-0.141926390210726	0.503380268210589	-0.281946669692169	0.777984403303788	0.999963202828308
ENSMUSG00000056763.16	898.458556953485	-0.115432293702727	0.10317546675615	-1.1187959437639	0.263227202551693	0.999963202828308
ENSMUSG00000088153.1	7.9531048780044	0.162685014154286	0.518350573108394	0.313851324941559	0.753633960740438	0.999963202828308
ENSMUSG00000102556.1	49.8703770987825	-0.111827407313989	0.245989677436815	-0.454602032407289	0.649395572341955	0.999963202828308
ENSMUSG00000067851.11	2740.8237730635	-0.00780474290689125	0.107644426911689	-0.0725048488882219	0.942200146772718	0.999963202828308
ENSMUSG00000077318.1	3.13092322465735	0.296426404522667	0.870810966894384	0.340402700232207	0.733553285491291	0.999963202828308
ENSMUSG00000101827.1	11.260857611517	1.00490729861322	0.489823561790099	2.05156994682066	0.0402114753926042	0.999963202828308
ENSMUSG00000048960.13	3698.19593917206	0.13481970214498	0.150297297468565	0.897020135529567	0.369708172664399	0.999963202828308
ENSMUSG00000103825.1	34.4683172026501	0.035994066925907	0.380966991756426	0.0944808020242345	0.924727231985523	0.999963202828308
ENSMUSG00000099845.1	6.77754677214289	-0.0418539967246552	0.579327325302264	-0.0722458528998574	0.942406255147475	0.999963202828308
ENSMUSG00000103561.1	16.4546343916579	0.18162958204166	0.451118682509865	0.40262039477314	0.68722750381771	0.999963202828308
ENSMUSG00000057715.13	647.242180049372	0.325919450424565	0.228531164178097	1.42614882130724	0.153825388869882	0.999963202828308
ENSMUSG00000016918.15	6868.77410184932	-0.184345798057959	0.253556648817108	-0.727039889973183	0.467201519814281	0.999963202828308
ENSMUSG00000025938.16	43.4898028378574	-0.373739932718702	0.317089472032739	-1.17865765243733	0.238534524650851	0.999963202828308
ENSMUSG00000103506.1	36.9939633277622	-0.321875334321314	0.295859379778157	-1.08793351274739	0.276624460190599	0.999963202828308
ENSMUSG00000103495.1	41.6971391190267	-0.0404668308618911	0.244313131617883	-0.165635103581674	0.868444120190817	0.999963202828308
ENSMUSG00000099183.1	2.58469124282923	0.118983185512003	0.885453175406467	0.134375468761952	0.893105678780789	0.999963202828308
ENSMUSG00000102639.1	11.698554173549	-0.623940402037676	0.450884677049141	-1.38381371955489	0.166415501018306	0.999963202828308
ENSMUSG00000104170.1	42.0402876218014	0.428236812575741	0.301657755107146	1.41961148130813	0.155720821027614	0.999963202828308
ENSMUSG00000103085.1	193.514186480089	-0.0910980854039824	0.17770646131443	-0.5126323754925	0.608208501785652	0.999963202828308
